CNT,math,read,sci,math_score,sd_math_score,read_score,sd_read_score,sci_score,sd_sci_score
Albania,60,65,65,394.63,91.27,394.36,115.78,397.53,99.05
Argentina,61,64,61,388.5,76.3,396.12,95.05,405.52,85.61
Australia,21,16,17,503.82,96,511.73,96.74,521.02,100.16
Austria,19,31,26,505.62,92.71,489.06,91.73,504.92,92.43
Belgium,15,18,25,514.96,102.23,509.11,103.06,505.58,101.56
Brazil,62,58,62,388.48,78.29,406.38,86.24,401.63,79.08
Bulgaria,50,54,49,438.44,93.61,436.66,118.3,446.49,101.72
Canada,13,8,11,518.01,88.7,523.41,92.05,525.52,90.85
Chile,54,51,50,422.4,80.32,441.16,78.25,444.89,80.81
China-Shanghai,1,1,1,611.66,100.43,568.31,79.66,579.04,81.71
Chinese-Taipei,4,9,13,559.14,115.72,522.87,91.65,523.04,83.17
Colombia,66,60,63,376.55,75.02,403.8,83.39,398.5,76.26
Connecticut-USA,20,11,19,505.48,98.92,520.46,97.4,519.61,96.78
CostaRica,59,52,54,407.18,68.48,440.66,74.33,429.8,70.9
Croatia,43,38,36,470.97,87.72,484.57,86.03,491.21,85.71
CzechRepublic,26,28,24,498.79,94.61,493.42,88.84,509.1,90.33
Denmark,25,27,29,499.88,82.11,496.45,85.4,498.22,92.51
Estonia,11,13,6,519.97,80.46,515.96,80.6,541.21,80.49
Finland,12,7,5,519.08,85.86,524.55,94.58,545.96,93.1
Florida-USA,44,29,40,467.32,84.68,492.14,87.19,484.93,91.35
France,27,23,28,496.13,97.8,505.7,110.01,499.35,100.79
Germany,16,22,12,513.66,96.42,507.79,90.91,523.77,94.48
Greece,46,44,46,453.46,87.55,477,98.37,466.62,88.87
HongKong-China,3,2,2,561.42,95.87,544.93,85.31,555.28,83.73
Hungary,42,32,33,477.73,93.95,489,91.95,494.96,90.47
Iceland,29,41,43,493.07,92.43,482.61,98.42,478.57,100.62
Indonesia,67,63,67,375.51,72.01,396.65,75.02,382.24,68.76
Ireland,22,10,16,501.08,84.41,522.7,85.9,521.5,91.17
Israel,45,37,45,466.85,104.9,485.6,114.27,470.42,107.14
Italy,34,30,35,484.99,92.45,489.63,96.92,493.03,92.97
Japan,7,4,4,536.66,93.55,538.12,99.2,547.62,95.65
Jordan,64,62,60,385.64,77.61,398.41,91.24,409.36,82.79
Kazakhstan,52,66,55,432.21,71.04,393.19,73.22,424.3,74.39
Korea,5,5,7,554.27,98.65,536.03,86.64,537.87,81.63
Latvia,30,33,27,490.44,81.84,488.67,84.66,502.53,78.29
Liechtenstein,8,14,14,534.18,93.1,515.7,85.7,522.75,83.07
Lithuania,40,43,32,478.22,88.84,477.11,86.78,495.52,85.85
Luxembourg,32,36,37,489.64,95.27,487.25,104.39,490.97,103.28
Macao-China,6,19,18,538.12,94.67,509.08,82.18,520.72,78.62
Malaysia,55,61,56,421.31,81.26,398.52,83.76,420.02,78.65
Massachusetts-USA,17,6,9,513.39,97.36,527.32,97.52,527.48,97.26
Mexico,56,55,58,413.21,74.45,423.75,80.4,414.86,70.7
Montenegro,57,56,59,409.51,82.32,422.13,91.86,410.09,84.35
Netherlands,10,17,15,522.41,91.64,510.99,92.87,521.79,94.77
NewZealand,24,15,20,500.3,99.92,512.19,105.69,515.9,104.68
Norway,31,24,34,489.74,90.33,503.82,100.39,494.35,99.04
Perm-RussianFederation,35,40,42,484.78,87.79,483.26,93.46,481.28,84.64
Peru,68,68,68,368.08,84.52,384.04,93.68,373.37,78.2
Poland,14,12,10,517.62,90.51,518.6,87.6,526.11,86.77
Portugal,33,35,38,486.47,94.01,487.75,93.29,488.62,88.84
Qatar,65,67,66,376.87,99.23,387.78,112.64,383.61,106.22
Romania,49,53,53,445.32,81.1,438.39,90.81,438.74,79.08
RussianFederation,37,46,39,481.89,86.53,474.59,90.28,486.19,84.84
Serbia,47,48,51,449.13,90.4,445.74,92.13,444.43,86.87
Singapore,2,3,3,573.42,105.48,541.89,100.73,551.44,104.01
SlovakRepublic,38,47,44,481.55,101.41,463.34,103.94,471.38,101.78
Slovenia,23,42,23,500.77,91.07,480.45,91.66,513.07,89.87
Spain,36,34,31,484.63,87.32,488.28,91.74,496.53,85.78
Sweden,41,39,41,478.15,91.26,483.59,106.88,484.16,99.75
Switzerland,9,20,21,530.55,94.42,508.51,90.07,514.56,90.63
Thailand,53,50,52,426.56,81.99,441.21,77.37,444.29,76.18
Tunisia,63,59,64,387.64,78.08,404.18,88.44,397.75,78.66
Turkey,48,45,47,447.4,91.2,475.01,85.98,463.13,79.96
UnitedArabEmirates,51,49,48,433.87,89.84,441.52,95.38,448.57,93.97
UK,28,25,22,493.97,94.63,499.72,97.3,514.46,99.96
USA,39,26,30,480.72,90.05,497.02,92.23,497.19,94.02
Uruguay,58,57,57,409.09,88.51,411.65,95.7,416.21,95.18
Vietnam,18,21,8,511.19,85.08,508.17,73.73,528.49,77.02